0,1,2,3,4,5,6
闭嘴,闭嘴,闭嘴,闭嘴,闭嘴,闭嘴,闭嘴
我想静静,恶心心,笑容渐渐消失,快落,嘤嘤嘤,你在说什么？？,呵呵
滚,走开,啊啊啊啊啊啊啊啊,吹啊吹啊我的骄傲放纵,生无可恋,我是谁 我在哪,内心毫无波澜甚至有点想笑
你开心就好,口区,GG,来啊 快活啊,西湖的水，我的泪,什么鬼,你仿佛在刻意逗我笑
我有小情绪了,你可拉倒吧,完蛋,论美貌你是比不过我的,哼,我的天呐,与我无瓜
好气啊,使不得 使不得,吓死宝宝了,滑稽,我能怎么办，我也很无奈啊,什么玩意儿,哦
算了 我不生气,你个垃圾,这不是去幼儿园的车,嘿嘿嘿,容我做个悲伤的表情,啊！！,看戏
好气哦 可还是要保持微笑,你就站在此地，不要走动,我要下车,走上人生巅峰,我不行,惊了,态度傲慢
那你说说你哪里错了,啊～行了行了,本宝宝开始慌了,安排！,一人我饮酒醉,OMG,今夜不让你入睡
哦，呵呵,你不配,裹紧我的小被几,膨胀,新的一天，新的难过,一脸懵比,你打我啊
气死我了,呵 土鳖,我完全不敢说话,笑得像个两百斤的傻子,心情复杂,欲言又止,吃瓜
那么你很棒棒哟,李大钊同学请你坐下,瑟瑟发抖,嘻嘻,套路 ，全是套路,哇,围观群众
丢雷楼某,鸡你太美,口怕,笑容渐渐变态,蓝瘦香菇,肿么肥事,面无表情
*龙门粗口*,恕我直言，在座各位,谢特,没毛病,悲伤辣么大,超兴奋,学术垃圾
出门右拐走好不送,你谁啊,吓到灵魂出窍,机智如我,你都不知道我有点伤心,吃了一斤,装傻
宝宝生气了,年轻人啊,大脑在颤抖,满脸写着高兴,容我做个悲伤的表情,目瞪口呆,我要学习
你不要脸,我妈不让我跟傻子玩,太强了,我可以,伤心事太多,我很好奇,暗中观察
欺负我这个老实人有意思吗,呵呵,惹不起惹不起,红红火火恍恍惚惚,请容许我做一个悲伤的表情,吃鲸,你真棒棒
小朋友说话注意点,脸上写满嫌弃,我没有，我不是,XSWL,一天比一天胖,仰望大佬,律师函警告
木大木大木大木大,一脸嫌弃,你可别瞎说啊,眼神暗示,我能怎么办，我也很绝望啊,神经病吧这个人,你怎么穿着品如的衣服
欧拉欧拉欧拉欧拉,我烦你,窒息,我好兴奋啊,进入委屈模式,装傻,无话可说
有钱长得帅是我的错吗,不要脸,TQL,AWSL,我枯了,,好想谈恋爱
删好友还是撤回,,你的数理基础比我扎实,大海啊，全是水,,,来盘昆特牌吧
小伙子口气别那么冲,,你是魔鬼吗,真香,,,一脸正经
你过来啊,,,我喜欢唱、跳、RAP、篮球,,,你好骚啊
